,domain,source
0,freeworldnews.tv,"['mbfc (conspiracy-pseudo-science)', 'mbfc (conspiracy-pseudo-science)']"
1,21stcenturywire.com,['mbfc (conspiracy-pseudo-science)']
2,79days.news,['mbfc (conspiracy-pseudo-science)']
3,369news.net,['mbfc (conspiracy-pseudo-science)']
4,911truth.org,['mbfc (conspiracy-pseudo-science)']
5,abovetopsecret.com,['mbfc (conspiracy-pseudo-science)']
6,acallforanuprising.com,['mbfc (conspiracy-pseudo-science)']
7,latitudes.org,['mbfc (conspiracy-pseudo-science)']
8,activistpost.com,['mbfc (conspiracy-pseudo-science)']
9,actualized.org,['mbfc (conspiracy-pseudo-science)']
10,additudemag.com,['mbfc (conspiracy-pseudo-science)']
11,ageofautism.com,['mbfc (conspiracy-pseudo-science)']
12,newsinstact.com,['mbfc (conspiracy-pseudo-science)']
13,allianceforadvancedhealth.com,['mbfc (conspiracy-pseudo-science)']
14,anh-usa.org,"['mbfc (conspiracy-pseudo-science)', 'feedly.com']"
15,altermedzentrum.com,['mbfc (conspiracy-pseudo-science)']
16,thealternativedaily.com,['mbfc (conspiracy-pseudo-science)']
17,amtvmedia.com,['mbfc (conspiracy-pseudo-science)']
18,alternativenews.com,['mbfc (conspiracy-pseudo-science)']
19,althealthworks.com,['mbfc (conspiracy-pseudo-science)']
20,altleft.news,['mbfc (conspiracy-pseudo-science)']
21,americandigitalnews.com,['mbfc (conspiracy-pseudo-science)']
22,americanfreepress.net,['mbfc (conspiracy-pseudo-science)']
23,aim4truth.org,['mbfc (conspiracy-pseudo-science)']
24,amg-news.com,['mbfc (conspiracy-pseudo-science)']
25,americanpolicy.org,['mbfc (conspiracy-pseudo-science)']
26,americasfrontlinedoctors.com,['mbfc (conspiracy-pseudo-science)']
27,ancient-code.com,['mbfc (conspiracy-pseudo-science)']
28,ancient-origins.net,['mbfc (conspiracy-pseudo-science)']
29,andmagazine.com,['mbfc (conspiracy-pseudo-science)']
30,anewspost.com,['mbfc (conspiracy-pseudo-science)']
31,answersingenesis.org,['mbfc (conspiracy-pseudo-science)']
32,anti-empire.com,['mbfc (conspiracy-pseudo-science)']
33,anyavien.com,['mbfc (conspiracy-pseudo-science)']
34,apost.com,['mbfc (conspiracy-pseudo-science)']
35,ae911truth.org,['mbfc (conspiracy-pseudo-science)']
36,asia-pacificresearch.com,['mbfc (conspiracy-pseudo-science)']
37,askingangels.com,['mbfc (conspiracy-pseudo-science)']
38,assassinationscience.com,['mbfc (conspiracy-pseudo-science)']
39,australiannationalreview.com,['mbfc (conspiracy-pseudo-science)']
40,autismspeaks.org,['mbfc (conspiracy-pseudo-science)']
41,awakecanada.org,['mbfc (conspiracy-pseudo-science)']
42,awarenessact.com,['mbfc (conspiracy-pseudo-science)']
43,banned.video,['mbfc (conspiracy-pseudo-science)']
44,beholdisrael.org,['mbfc (conspiracy-pseudo-science)']
45,bestnewshere.com,['mbfc (conspiracy-pseudo-science)']
46,biggovernment.news,['mbfc (conspiracy-pseudo-science)']
47,biodefense.com,['mbfc (conspiracy-pseudo-science)']
48,biologos.org,['mbfc (conspiracy-pseudo-science)']
49,biotechexpressmag.com,['mbfc (conspiracy-pseudo-science)']
50,blacklistednews.com,['mbfc (conspiracy-pseudo-science)']
51,blckbx.tv,['mbfc (conspiracy-pseudo-science)']
52,bonsens.info,['mbfc (conspiracy-pseudo-science)']
53,brandnewtube.com,['mbfc (conspiracy-pseudo-science)']
54,brighteon.com,['mbfc (conspiracy-pseudo-science)']
55,brightside.me,['mbfc (conspiracy-pseudo-science)']
56,bugout.news,['mbfc (conspiracy-pseudo-science)']
57,campusinsanity.com,['mbfc (conspiracy-pseudo-science)']
58,cancer.news,['mbfc (conspiracy-pseudo-science)']
59,catholic.org,['mbfc (conspiracy-pseudo-science)']
60,charismanews.com,['mbfc (conspiracy-pseudo-science)']
61,childrenshealthdefense.org,"['mbfc (conspiracy-pseudo-science)', 'mbfc (conspiracy-pseudo-science)']"
62,chlorellafactor.com,['mbfc (conspiracy-pseudo-science)']
63,carm.org,['mbfc (conspiracy-pseudo-science)']
64,cbn.com,['mbfc (conspiracy-pseudo-science)']
65,creation.com,['mbfc (conspiracy-pseudo-science)']
66,christianscience.com,['mbfc (conspiracy-pseudo-science)']
67,legitgov.org,['mbfc (conspiracy-pseudo-science)']
68,climatechangedispatch.com,['mbfc (conspiracy-pseudo-science)']
69,climatedepot.com,['mbfc (conspiracy-pseudo-science)']
70,judithcurry.com,['mbfc (conspiracy-pseudo-science)']
71,climate.news,['mbfc (conspiracy-pseudo-science)']
72,cnnsofake.news,['mbfc (conspiracy-pseudo-science)']
73,coasttocoastam.com,['mbfc (conspiracy-pseudo-science)']
74,collapse.news,['mbfc (conspiracy-pseudo-science)']
75,collective-evolution.com,['mbfc (conspiracy-pseudo-science)']
76,cfact.org,['mbfc (conspiracy-pseudo-science)']
77,consciouslifenews.com,['mbfc (conspiracy-pseudo-science)']
78,conspiracydailyupdate.com,['mbfc (conspiracy-pseudo-science)']
79,consumerwellness.org,['mbfc (conspiracy-pseudo-science)']
80,cosmicintelligenceagency.com,['mbfc (conspiracy-pseudo-science)']
81,counterthink.com,['mbfc (conspiracy-pseudo-science)']
82,geopolitics.co,['mbfc (conspiracy-pseudo-science)']
83,creationwiki.org,['mbfc (conspiracy-pseudo-science)']
84,csglobe.com,['mbfc (conspiracy-pseudo-science)']
85,cureus.com,['mbfc (conspiracy-pseudo-science)']
86,curiousmindmagazine.com,['mbfc (conspiracy-pseudo-science)']
87,dailyclout.io,['mbfc (conspiracy-pseudo-science)']
88,dailygrail.com,['mbfc (conspiracy-pseudo-science)']
89,dailyhealthpost.com,['mbfc (conspiracy-pseudo-science)']
90,dailysceptic.org,['mbfc (conspiracy-pseudo-science)']
91,darkjournalist.com,['mbfc (conspiracy-pseudo-science)']
92,davidicke.com,['mbfc (conspiracy-pseudo-science)']
93,davidwolfe.com,['mbfc (conspiracy-pseudo-science)']
94,diedsuddenly.info,['mbfc (conspiracy-pseudo-science)']
95,discovery.org,['mbfc (conspiracy-pseudo-science)']
96,disobedientmedia.com,['mbfc (conspiracy-pseudo-science)']
97,doctoroz.com,['mbfc (conspiracy-pseudo-science)']
98,doctors4covidethics.org,['mbfc (conspiracy-pseudo-science)']
99,draxe.com,['mbfc (conspiracy-pseudo-science)']
100,drnorthrup.com,['mbfc (conspiracy-pseudo-science)']
101,earthpulse.com,['mbfc (conspiracy-pseudo-science)']
102,ecology.news,['mbfc (conspiracy-pseudo-science)']
103,educateinspirechange.org,['mbfc (conspiracy-pseudo-science)']
104,educate-yourself.org,['mbfc (conspiracy-pseudo-science)']
105,electroverse.net,['mbfc (conspiracy-pseudo-science)']
106,eluxemagazine.com,['mbfc (conspiracy-pseudo-science)']
107,ewg.org,['mbfc (conspiracy-pseudo-science)']
108,escapeallthesethings.com,['mbfc (conspiracy-pseudo-science)']
109,eugenics.news,['mbfc (conspiracy-pseudo-science)']
110,europereloaded.com,['mbfc (conspiracy-pseudo-science)']
111,evolutionnews.org,['mbfc (conspiracy-pseudo-science)']
112,fabiosa.com,['mbfc (conspiracy-pseudo-science)']
113,faithit.com,['mbfc (conspiracy-pseudo-science)']
114,faithpanda.com,['mbfc (conspiracy-pseudo-science)']
115,foodbabe.com,['mbfc (conspiracy-pseudo-science)']
116,foodmatters.com,['mbfc (conspiracy-pseudo-science)']
117,food.news,['mbfc (conspiracy-pseudo-science)']
118,foreverconscious.com,['mbfc (conspiracy-pseudo-science)']
119,thefreethoughtproject.com,['mbfc (conspiracy-pseudo-science)']
120,freedomadvocates.org,['mbfc (conspiracy-pseudo-science)']
121,freedomainradio.com,['mbfc (conspiracy-pseudo-science)']
122,freedom.news,['mbfc (conspiracy-pseudo-science)']
123,friendsofscience.org,['mbfc (conspiracy-pseudo-science)']
124,covid19criticalcare.com,['mbfc (conspiracy-pseudo-science)']
125,gaia.com,['mbfc (conspiracy-pseudo-science)']
126,gender.news,['mbfc (conspiracy-pseudo-science)']
127,geoengineering.news,['mbfc (conspiracy-pseudo-science)']
128,geoengineeringwatch.org,['mbfc (conspiracy-pseudo-science)']
129,getholistichealth.com,['mbfc (conspiracy-pseudo-science)']
130,glitch.news,['mbfc (conspiracy-pseudo-science)']
131,globalhealingcenter.com,['mbfc (conspiracy-pseudo-science)']
132,globalresearch.ca,['mbfc (conspiracy-pseudo-science)']
133,globalskywatch.com,['mbfc (conspiracy-pseudo-science)']
134,gmowatch.com,['mbfc (conspiracy-pseudo-science)']
135,gmwatch.org,['mbfc (conspiracy-pseudo-science)']
136,godlikeproductions.com,['mbfc (conspiracy-pseudo-science)']
137,goop.com,['mbfc (conspiracy-pseudo-science)']
138,gotquestions.org,['mbfc (conspiracy-pseudo-science)']
139,govtslaves.com,['mbfc (conspiracy-pseudo-science)']
140,greenmedinfo.com,['mbfc (conspiracy-pseudo-science)']
141,greenpeace.org,['mbfc (conspiracy-pseudo-science)']
142,wordpress.com,['mbfc (conspiracy-pseudo-science)']
143,healingfoodreference.com,['mbfc (conspiracy-pseudo-science)']
144,healingoracle.ch,['mbfc (conspiracy-pseudo-science)']
145,healthimpactnews.com,['mbfc (conspiracy-pseudo-science)']
146,health.news,['mbfc (conspiracy-pseudo-science)']
147,healthnutnews.com,['mbfc (conspiracy-pseudo-science)']
148,healthrangerreport.com,['mbfc (conspiracy-pseudo-science)']
149,hsionline.com,['mbfc (conspiracy-pseudo-science)']
150,healthyandnaturalworld.com,['mbfc (conspiracy-pseudo-science)']
151,healthyfoodhouse.com,['mbfc (conspiracy-pseudo-science)']
152,healthy-holistic-living.com,"['mbfc (conspiracy-pseudo-science)', 'feedly.com']"
153,savethemales.ca,['mbfc (conspiracy-pseudo-science)']
154,herb.co,['mbfc (conspiracy-pseudo-science)']
155,herbreference.com,['mbfc (conspiracy-pseudo-science)']
156,higherperspectives.com,['mbfc (conspiracy-pseudo-science)']
157,thieme-connect.com,['mbfc (conspiracy-pseudo-science)']
158,homevaccineeducationnetwork.com,['mbfc (conspiracy-pseudo-science)']
159,humansarefree.com,['mbfc (conspiracy-pseudo-science)']
160,icandecide.org,['mbfc (conspiracy-pseudo-science)']
161,ihealthtube.com,['mbfc (conspiracy-pseudo-science)']
162,iheartintelligence.com,['mbfc (conspiracy-pseudo-science)']
163,illuminatiwatcher.com,['mbfc (conspiracy-pseudo-science)']
164,independentsciencenews.org,['mbfc (conspiracy-pseudo-science)']
165,infiniteunknown.net,['mbfc (conspiracy-pseudo-science)']
166,informationclearinghouse.info,['mbfc (conspiracy-pseudo-science)']
167,infowars.com,['mbfc (conspiracy-pseudo-science)']
168,ingredients.news,['mbfc (conspiracy-pseudo-science)']
169,icr.org,['mbfc (conspiracy-pseudo-science)']
170,responsibletechnology.org,['mbfc (conspiracy-pseudo-science)']
171,climatescienceinternational.org,['mbfc (conspiracy-pseudo-science)']
172,investmentwatchblog.com,['mbfc (conspiracy-pseudo-science)']
173,iowaclimate.org,['mbfc (conspiracy-pseudo-science)']
174,theirishsentinel.com,['mbfc (conspiracy-pseudo-science)']
175,israel365news.com,['mbfc (conspiracy-pseudo-science)']
176,jedanews.com,['mbfc (conspiracy-pseudo-science)']
177,jw.org,['mbfc (conspiracy-pseudo-science)']
178,jesus-is-savior.com,['mbfc (conspiracy-pseudo-science)']
179,joebiden.news,['mbfc (conspiracy-pseudo-science)']
180,junkscience.com,['mbfc (conspiracy-pseudo-science)']
181,larouchepac.com,['mbfc (conspiracy-pseudo-science)']
182,learntherisk.org,['mbfc (conspiracy-pseudo-science)']
183,leftcult.com,['mbfc (conspiracy-pseudo-science)']
184,lesmoutonsrebelles.com,['mbfc (conspiracy-pseudo-science)']
185,liberty.news,['mbfc (conspiracy-pseudo-science)']
186,libertyplanets.com,['mbfc (conspiracy-pseudo-science)']
187,libtards.news,['mbfc (conspiracy-pseudo-science)']
188,lifespa.com,['mbfc (conspiracy-pseudo-science)']
189,littlethings.com,['mbfc (conspiracy-pseudo-science)']
190,liveaction.org,['mbfc (conspiracy-pseudo-science)']
191,livestrong.com,['mbfc (conspiracy-pseudo-science)']
192,livingwhole.org,['mbfc (conspiracy-pseudo-science)']
193,mediafactwatch.com,['mbfc (conspiracy-pseudo-science)']
194,mediaroots.org,['mbfc (conspiracy-pseudo-science)']
195,medicalcensorship.com,['mbfc (conspiracy-pseudo-science)']
196,medicaldaily.com,['mbfc (conspiracy-pseudo-science)']
197,medicalkidnap.com,['mbfc (conspiracy-pseudo-science)']
198,medicalmedium.com,['mbfc (conspiracy-pseudo-science)']
199,medicine.news,['mbfc (conspiracy-pseudo-science)']
200,mercola.com,"['mbfc (conspiracy-pseudo-science)', 'similarweb.com']"
201,mindbodygreen.com,['mbfc (conspiracy-pseudo-science)']
202,modernalternativemama.com,['mbfc (conspiracy-pseudo-science)']
203,nationalfile.com,['mbfc (conspiracy-pseudo-science)']
204,nationalsecurity.news,['mbfc (conspiracy-pseudo-science)']
205,nvic.org,['mbfc (conspiracy-pseudo-science)']
206,naturalawakeningsmag.com,['mbfc (conspiracy-pseudo-science)']
207,naturalcures.com,['mbfc (conspiracy-pseudo-science)']
208,naturalhealth365.com,['mbfc (conspiracy-pseudo-science)']
209,naturalmedicine.news,['mbfc (conspiracy-pseudo-science)']
210,naturalnews.com,['mbfc (conspiracy-pseudo-science)']
211,naturalnewsblogs.com,['mbfc (conspiracy-pseudo-science)']
212,naturalnewsradio.com,['mbfc (conspiracy-pseudo-science)']
213,naturalpedia.com,['mbfc (conspiracy-pseudo-science)']
214,naturalsociety.com,['mbfc (conspiracy-pseudo-science)']
215,naturallysavvy.com,['mbfc (conspiracy-pseudo-science)']
216,needtoknow.news,['mbfc (conspiracy-pseudo-science)']
217,neonnettle.com,['mbfc (conspiracy-pseudo-science)']
218,neuronation.com,['mbfc (conspiracy-pseudo-science)']
219,newamericannews.com,['mbfc (conspiracy-pseudo-science)']
220,newsinsideout.com,['mbfc (conspiracy-pseudo-science)']
221,newstarget.com,['mbfc (conspiracy-pseudo-science)']
222,newsbud.com,['mbfc (conspiracy-pseudo-science)']
223,nomorefakenews.com,['mbfc (conspiracy-pseudo-science)']
224,notrickszone.com,['mbfc (conspiracy-pseudo-science)']
225,nowtheendbegins.com,['mbfc (conspiracy-pseudo-science)']
226,nutrientreference.com,['mbfc (conspiracy-pseudo-science)']
227,nutritionfacts.org,['mbfc (conspiracy-pseudo-science)']
228,nworeport.me,['mbfc (conspiracy-pseudo-science)']
229,occupyyourself.org,['mbfc (conspiracy-pseudo-science)']
230,off-guardian.org,['mbfc (conspiracy-pseudo-science)']
231,organicconsumers.org,['mbfc (conspiracy-pseudo-science)']
232,organicfacts.net,['mbfc (conspiracy-pseudo-science)']
233,ourhealthguides.com,['mbfc (conspiracy-pseudo-science)']
234,pandemic.news,['mbfc (conspiracy-pseudo-science)']
235,patriots4truth.org,['mbfc (conspiracy-pseudo-science)']
236,paulcraigroberts.org,['mbfc (conspiracy-pseudo-science)']
237,peta.org,['mbfc (conspiracy-pseudo-science)']
238,philosophers-stone.info,['mbfc (conspiracy-pseudo-science)']
239,mediabiasfactcheck.com,"['mbfc (conspiracy-pseudo-science)', 'mbfc (conspiracy-pseudo-science)']"
240,pollution.news,['mbfc (conspiracy-pseudo-science)']
241,prepareforchange.net,['mbfc (conspiracy-pseudo-science)']
242,pressfortruth.ca,['mbfc (conspiracy-pseudo-science)']
243,prevention.com,['mbfc (conspiracy-pseudo-science)']
244,principia-scientific.org,['mbfc (conspiracy-pseudo-science)']
245,pdmj.org,['mbfc (conspiracy-pseudo-science)']
246,prisonplanet.com,['mbfc (conspiracy-pseudo-science)']
247,prophecynewswatch.com,['mbfc (conspiracy-pseudo-science)']
248,prophecytoday.com,['mbfc (conspiracy-pseudo-science)']
249,qanon.pub,['mbfc (conspiracy-pseudo-science)']
250,randpaul.news,['mbfc (conspiracy-pseudo-science)']
251,rapturenewsnetwork.com,['mbfc (conspiracy-pseudo-science)']
252,realclimatescience.com,['mbfc (conspiracy-pseudo-science)']
253,realjewnews.com,['mbfc (conspiracy-pseudo-science)']
254,realnews24.com,['mbfc (conspiracy-pseudo-science)']
255,realfarmacy.com,['mbfc (conspiracy-pseudo-science)']
256,redoubtnews.com,['mbfc (conspiracy-pseudo-science)']
257,redpillpodcasts.com,['mbfc (conspiracy-pseudo-science)']
258,renegadetribune.com,['mbfc (conspiracy-pseudo-science)']
259,rense.com,['mbfc (conspiracy-pseudo-science)']
260,returntonow.net,['mbfc (conspiracy-pseudo-science)']
261,revolutionradio.org,['mbfc (conspiracy-pseudo-science)']
262,rumormillnews.com,['mbfc (conspiracy-pseudo-science)']
263,sanevax.org,['mbfc (conspiracy-pseudo-science)']
264,santeplusmag.com,['mbfc (conspiracy-pseudo-science)']
265,science.news,['mbfc (conspiracy-pseudo-science)']
266,sciencevibe.com,['mbfc (conspiracy-pseudo-science)']
267,sgtreport.com,['mbfc (conspiracy-pseudo-science)']
268,sheepkillers.com,['mbfc (conspiracy-pseudo-science)']
269,shoebat.com,['mbfc (conspiracy-pseudo-science)']
270,sott.net,['mbfc (conspiracy-pseudo-science)']
271,skeptiko.com,['mbfc (conspiracy-pseudo-science)']
272,snopes.news,['mbfc (conspiracy-pseudo-science)']
273,southfront.org,['mbfc (conspiracy-pseudo-science)']
274,space.news,['mbfc (conspiracy-pseudo-science)']
275,stillnessinthestorm.com,['mbfc (conspiracy-pseudo-science)']
276,stormfront.org,['mbfc (conspiracy-pseudo-science)']
277,supplementreference.com,['mbfc (conspiracy-pseudo-science)']
278,sustainablepulse.com,['mbfc (conspiracy-pseudo-science)']
279,swprs.org,['mbfc (conspiracy-pseudo-science)']
280,talknetwork.com,['mbfc (conspiracy-pseudo-science)']
281,technocracy.news,['mbfc (conspiracy-pseudo-science)']
282,theantimedia.com,['mbfc (conspiracy-pseudo-science)']
283,theautomaticearth.com,['mbfc (conspiracy-pseudo-science)']
284,thecommonsenseshow.com,['mbfc (conspiracy-pseudo-science)']
285,corbettreport.com,['mbfc (conspiracy-pseudo-science)']
286,expose-news.com,['mbfc (conspiracy-pseudo-science)']
287,thedailysheeple.com,['mbfc (conspiracy-pseudo-science)']
288,thedailyworld.net,['mbfc (conspiracy-pseudo-science)']
289,eutimes.net,['mbfc (conspiracy-pseudo-science)']
290,theeventchronicle.com,['mbfc (conspiracy-pseudo-science)']
291,thefullertoninformer.com,['mbfc (conspiracy-pseudo-science)']
292,greanvillepost.com,['mbfc (conspiracy-pseudo-science)']
293,healthranger.com,['mbfc (conspiracy-pseudo-science)']
294,thehealthyamerican.org,['mbfc (conspiracy-pseudo-science)']
295,theheartysoul.com,['mbfc (conspiracy-pseudo-science)']
296,thehighwire.com,['mbfc (conspiracy-pseudo-science)']
297,thelibertybeacon.com,['mbfc (conspiracy-pseudo-science)']
298,themindunleashed.com,['mbfc (conspiracy-pseudo-science)']
299,newnationalist.net,['mbfc (conspiracy-pseudo-science)']
300,thepulse.one,['mbfc (conspiracy-pseudo-science)']
301,thepuristonline.com,['mbfc (conspiracy-pseudo-science)']
302,therundownlive.com,['mbfc (conspiracy-pseudo-science)']
303,stream.org,['mbfc (conspiracy-pseudo-science)']
304,thetrumpet.com,['mbfc (conspiracy-pseudo-science)']
305,thetruthaboutcancer.com,['mbfc (conspiracy-pseudo-science)']
306,thetruthseeker.co.uk,['mbfc (conspiracy-pseudo-science)']
307,vermontindependent.net,['mbfc (conspiracy-pseudo-science)']
308,wakingtimes.com,['mbfc (conspiracy-pseudo-science)']
309,thinkinghumanity.com,['mbfc (conspiracy-pseudo-science)']
310,thoughtcatalog.com,['mbfc (conspiracy-pseudo-science)']
311,thoughtcrimeradio.net,['mbfc (conspiracy-pseudo-science)']
312,thriveglobal.com,['mbfc (conspiracy-pseudo-science)']
313,thrivemovement.com,['mbfc (conspiracy-pseudo-science)']
314,treason.news,['mbfc (conspiracy-pseudo-science)']
315,trialsitenews.com,['mbfc (conspiracy-pseudo-science)']
316,trunews.com,['mbfc (conspiracy-pseudo-science)']
317,truth11.com,['mbfc (conspiracy-pseudo-science)']
318,twisted.news,['mbfc (conspiracy-pseudo-science)']
319,unlimitedhangout.com,['mbfc (conspiracy-pseudo-science)']
320,ukcolumn.org,['mbfc (conspiracy-pseudo-science)']
321,usahitman.com,['mbfc (conspiracy-pseudo-science)']
322,usawatchdog.com,['mbfc (conspiracy-pseudo-science)']
323,vaccineimpact.com,['mbfc (conspiracy-pseudo-science)']
324,vaccines.news,['mbfc (conspiracy-pseudo-science)']
325,vaccinepapers.org,['mbfc (conspiracy-pseudo-science)']
326,vrevealed.com,['mbfc (conspiracy-pseudo-science)']
327,vaccinesafety.info,['mbfc (conspiracy-pseudo-science)']
328,vactruth.com,['mbfc (conspiracy-pseudo-science)']
329,vaxxter.com,['mbfc (conspiracy-pseudo-science)']
330,veteranstoday.com,['mbfc (conspiracy-pseudo-science)']
331,vigilantcitizen.com,['mbfc (conspiracy-pseudo-science)']
332,votefraud.news,['mbfc (conspiracy-pseudo-science)']
333,wattsupwiththat.com,['mbfc (conspiracy-pseudo-science)']
334,anonhq.com,['mbfc (conspiracy-pseudo-science)']
335,wearechange.org,['mbfc (conspiracy-pseudo-science)']
336,westonaprice.org,['mbfc (conspiracy-pseudo-science)']
337,whatreallyhappened.com,['mbfc (conspiracy-pseudo-science)']
338,whatdoesitmean.com,['mbfc (conspiracy-pseudo-science)']
339,whitehouse.news,['mbfc (conspiracy-pseudo-science)']
340,wikispooks.com,['mbfc (conspiracy-pseudo-science)']
341,winterwatch.net,['mbfc (conspiracy-pseudo-science)']
342,worldaffairsbrief.com,['mbfc (conspiracy-pseudo-science)']
343,worldcouncilforhealth.org,['mbfc (conspiracy-pseudo-science)']
344,worlddoctorsalliance.com,['mbfc (conspiracy-pseudo-science)']
345,worldhealth.net,['mbfc (conspiracy-pseudo-science)']
346,worldlifestyle.com,['mbfc (conspiracy-pseudo-science)']
347,worldtruth.tv,['mbfc (conspiracy-pseudo-science)']
348,worldviewweekend.com,['mbfc (conspiracy-pseudo-science)']
349,x22report.com,['mbfc (conspiracy-pseudo-science)']
350,zerohedge.com,['mbfc (conspiracy-pseudo-science)']
351,naturalcowgirl.wordpress.com,['feedly.com']
352,naturalhealthnews.uk,['feedly.com']
353,onlineholistichealth.com,['feedly.com']
354,thecompleteherbalguide.com,['feedly.com']
355,sweetlemonmag.blogspot.com,['feedly.com']
356,naturalhealthnews.blogspot.com,['feedly.com']
357,naturalhealthezine.com,['feedly.com']
358,naturalon.com,['feedly.com']
359,all4naturalhealth.com,['feedly.com']
360,plasma-laurentides.org,['similarweb.com']
361,thetappingsolution.com,['similarweb.com']
362,drjoedispenza.com,['similarweb.com']
363,nirogstreet.com,['similarweb.com']
364,chopra.com,['similarweb.com']
365,drweil.com,['similarweb.com']
366,earthclinic.com,['similarweb.com']
367,drhomeo.com,['similarweb.com']
368,planetayurveda.com,['similarweb.com']
